id,name,party,constituency,in_party,in_profit,in_total,out_total
22,王金平,中國國民黨,全國不分區,0,0,0,0
515,丁守中,中國國民黨,臺北市第1選區,3000000,25300000,56757081,14348178
546,洪秀柱,中國國民黨,全國不分區,0,0,0,0
551,翁重鈞,中國國民黨,嘉義縣第1選區,8000000,8275000,33344024,19352130
607,李慶華,中國國民黨,新北市第12選區,3000000,7680000,17621614,16279687
629,柯建銘,民主進步黨,全國不分區,0,0,0,0
639,許添財,民主進步黨,臺南市第4選區,0,7318000,19166942,11927579
645,陳唐山,民主進步黨,臺南市第5選區,0,5685000,12412413,12815950
665,黃昭順,中國國民黨,高雄市第3選區,3000000,11149000,33681648,34602754
678,潘維剛,中國國民黨,全國不分區,0,0,0,0
708,李應元,民主進步黨,全國不分區,0,0,0,0
716,林郁方,中國國民黨,臺北市第5選區,4000000,10408000,31311332,23480909
726,徐少萍,中國國民黨,全國不分區,0,0,0,0
734,陳其邁,民主進步黨,全國不分區,0,0,0,0
752,蔡煌瑯,民主進步黨,全國不分區,0,0,0,0
788,林正二,親民黨,平地原住民,0,0,0,0
828,陳明文,民主進步黨,嘉義縣第2選區,0,8750000,19661191,18127026
833,陳根德,中國國民黨,桃園縣第1選區,3000000,9337000,19191565,20752836
836,陳超明,中國國民黨,苗栗縣第1選區,3000000,9995800,20894800,20946033
840,陳學聖,中國國民黨,桃園縣第3選區,3000000,7412000,15804912,15833801
854,楊瓊瓔,中國國民黨,臺中市第3選區,3000000,14228000,35015437,37735577
855,葉宜津,民主進步黨,臺南市第1選區,475000,3317700,10837396,7198490
866,賴士葆,中國國民黨,臺北市第8選區,5000000,8266000,27965092,24814985
869,盧秀燕,中國國民黨,臺中市第5選區,3000000,13705000,32462546,30207624
879,羅明才,中國國民黨,新北市第11選區,3000000,10070000,16575443,16859892
892,呂學樟,中國國民黨,新竹市,3000000,3188000,13431322,17466881
896,李桐豪,親民黨,全國不分區,0,0,0,0
898,李鴻鈞,中國國民黨,新北市第4選區,3000000,11710000,20272710,22259456
904,林岱樺,民主進步黨,高雄市第4選區,100000,9924000,25912103,27818484
908,林德福,中國國民黨,新北市第9選區,3000000,6353000,16107881,16115652
913,邱議瑩,民主進步黨,高雄市第1選區,100000,5441000,14856582,15005809
917,段宜康,民主進步黨,全國不分區,0,0,0,0
918,紀國棟,中國國民黨,全國不分區,0,0,0,0
919,孫大千,中國國民黨,桃園縣第6選區,2500000,8720000,12783531,12115258
921,徐耀昌,中國國民黨,苗栗縣第2選區,3000000,14280000,25853538,27316359
923,高志鵬,民主進步黨,新北市第3選區,0,9935000,19217741,19797867
926,高金素梅,無黨團結聯盟,山地原住民,0,0,0,0
960,楊麗環,中國國民黨,桃園縣第4選區,3000000,8852000,24108998,24127741
962,廖國棟,中國國民黨,平地原住民,0,0,0,0
966,蔡正元,中國國民黨,臺北市第4選區,3000000,7039600,13973250,27464929
979,顏清標,無黨團結聯盟,臺中市第2選區,0,17739000,29644395,15479122
980,魏明谷,民主進步黨,彰化縣第4選區,0,1860000,7672502,8468248
981,蕭美琴,民主進步黨,全國不分區,0,0,0,0
1312,孔文吉,中國國民黨,山地原住民,0,0,0,0
1316,田秋堇,民主進步黨,全國不分區,0,0,0,0
1322,吳育昇,中國國民黨,新北市第1選區,3800000,21231000,49884737,27631173
1324,吳秉叡,民主進步黨,全國不分區,0,0,0,0
1327,李昆澤,民主進步黨,高雄市第6選區,100000,4950000,22936709,24272470
1337,林淑芬,民主進步黨,新北市第2選區,0,3436050,9103281,13166724
1338,林滄敏,中國國民黨,彰化縣第2選區,3000000,11765500,25619999,16855000
1340,林鴻池,中國國民黨,新北市第6選區,3000000,5524000,20446190,18538400
1347,張慶忠,中國國民黨,新北市第8選區,1000000,3213000,6857531,15655550
1365,費鴻泰,中國國民黨,臺北市第7選區,3150000,17623000,41700364,41872750
1366,黃志雄,中國國民黨,新北市第5選區,6000000,5710000,19969286,20058445
1367,黃偉哲,民主進步黨,臺南市第2選區,489250,4775000,11450235,11651218
1374,管碧玲,民主進步黨,高雄市第5選區,1250000,9130500,28239386,25802058
1376,潘孟安,民主進步黨,屏東縣第3選區,950000,5597688,18640915,14602089
1377,蔡其昌,民主進步黨,臺中市第1選區,0,8035720,21643851,15401970
1380,蔡錦隆,中國國民黨,臺中市第4選區,3000000,5315400,18087679,18948075
1384,薛凌,民主進步黨,全國不分區,0,0,0,0
1387,謝國樑,中國國民黨,基隆市,2000000,10300000,17883868,18350045
1638,羅淑蕾,中國國民黨,臺北市第3選區,3000000,4932000,27240836,18617646
1701,王進士,中國國民黨,屏東縣第2選區,4000000,4408938,15876989,23727862
1706,林明溱,中國國民黨,南投縣第2選區,3000000,7520000,18315886,16396470
1708,陳亭妃,民主進步黨,臺南市第3選區,0,6570000,20076174,17836092
1709,陳節如,民主進步黨,全國不分區,0,0,0,0
1711,廖正井,中國國民黨,桃園縣第2選區,5500000,10082000,19192085,19998857
1713,鄭汝芬,中國國民黨,彰化縣第3選區,3000000,5132000,17937825,18700931
1715,盧嘉辰,中國國民黨,新北市第10選區,3000000,2668800,9419048,11413324
1717,簡東明,中國國民黨,山地原住民,0,0,0,0
1718,蘇震清,民主進步黨,屏東縣第1選區,0,6773000,23968872,21105320
1719,張嘉郡,中國國民黨,雲林縣第1選區,3000000,6823000,19953707,21415987
1720,陳淑慧,中國國民黨,全國不分區,0,0,0,0
1722,蔣乃辛,中國國民黨,臺北市第6選區,4000000,4030000,16758275,8639565
